,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
941,The Fan,18582965,18582965,,55000000,Aug 16 1996,R,117,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Tony Scott,40,5.6,20640
942,Timber Falls,0,0,,2600000,Dec 07 2007,R,,Slowhand Cinema,Original Screenplay,Horror,Contemporary Fiction,,38,5.3,2213
943,Tae Guik Gi: The Brotherhood of War,1110186,69826708,,12500000,Sep 03 2004,R,,IDP Distribution,Original Screenplay,Drama,Historical Fiction,,,,
944,The Incredibly True Adventure of Two Girls in Love,2210408,2477155,,250000,Jun 16 1995,R,,Fine Line,Original Screenplay,Drama,Contemporary Fiction,,,5.8,1795
945,There Goes My Baby,125169,125169,,10500000,Sep 02 1994,R,,Orion Pictures,Original Screenplay,Comedy,Contemporary Fiction,,,6.3,507
946,Tank Girl,4064333,4064333,,25000000,Mar 01 1995,R,,MGM,Based on Comic/Graphic Novel,Action,Science Fiction,,42,4.7,10772
947,Top Gun,176786701,353786701,,15000000,May 16 1986,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,45,6.5,80013
948,Thunderball,63600000,141200000,,9000000,Dec 29 1965,,,MGM,Based on Book/Short Story,Action,,,91,7,27245
949,The Calling,0,0,,2500000,Dec 31 2009,,,,,,,,,3.4,1113
950,The Craft,24769466,55669466,,15000000,May 03 1996,R,100,Sony Pictures,Original Screenplay,Thriller/Suspense,Fantasy,Andrew Fleming,45,5.9,21130
951,It Happened One Night,2500000,2500000,,325000,Dec 31 1933,,,,,Romantic Comedy,,Frank Capra,97,8.3,25074
952,The Net,50621733,110521733,,22000000,Jul 28 1995,PG-13,,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,,33,5.6,24363
953,La otra conquista,886410,886410,,3500000,Apr 19 2000,R,,Hombre de Oro,Original Screenplay,Drama,Historical Fiction,,,6.1,584
954,The Journey,19800,19800,,500000,Jul 11 2003,Not Rated,,,,,,,,4.4,74
955,They Live,13000000,13000000,,4000000,Nov 04 1988,,,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,John Carpenter,88,7,20995
956,Tales from the Hood,11784569,11784569,,6000000,May 24 1995,R,,Savoy,Original Screenplay,Horror,Contemporary Fiction,,33,5.8,1860
957,Time Bandits,37400000,37400000,,12000000,Nov 06 1981,,,Avco Embassy,Original Screenplay,Adventure,Fantasy,Terry Gilliam,94,6.9,22719
958,Tombstone,56505000,56505000,,25000000,Dec 25 1993,R,,Walt Disney Pictures,Based on Real Life Events,Western,Dramatization,George P. Cosmatos,77,7.7,43688
959,Time Changer,1500711,1500711,,825000,Oct 25 2002,PG,,Five & Two Pictures,Original Screenplay,Drama,Fantasy,,22,5,1029
960,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,78656813,,25000000,Mar 22 1991,,,New Line,Based on Comic/Graphic Novel,Adventure,Fantasy,,,5.3,12742
961,Teenage Mutant Ninja Turtles III,42273609,42273609,,21000000,Mar 19 1993,,,New Line,Based on Comic/Graphic Novel,Adventure,Fantasy,,30,4.3,9064
962,Tango & Cash,63408614,63408614,,55000000,Dec 22 1989,,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Andrei Konchalovsky,39,5.8,25248
963,Teenage Mutant Ninja Turtles,135265915,202000000,,13500000,Mar 30 1990,,,New Line,Based on TV,Adventure,Fantasy,Steve Barron,,6.4,25867
964,Topaz,6000000,6000000,,4000000,Dec 19 1969,,,Universal,,,,Alfred Hitchcock,71,6.2,6389
965,Taps,35856053,35856053,,14000000,Dec 09 1981,,,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Harold Becker,79,6.5,6515
966,Trainspotting,16501785,24000785,,3100000,Jul 19 1996,R,94,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Danny Boyle,89,8.2,150483
967,The Train,6800000,6800000,,5800000,Mar 07 1965,,,,,,,John Frankenheimer,83,7.8,4692
968,Troop Beverly Hills,7190505,7190505,,18000000,Mar 22 1989,,,Sony/Columbia,Original Screenplay,Comedy,Contemporary Fiction,,8,4.7,3427
969,Trekkies,617172,617172,,375000,May 21 1999,PG,,Paramount Pictures,Based on Real Life Events,Documentary,Factual,,,6.9,3004
970,True Lies,146282411,365300000,,100000000,Jul 15 1994,R,,20th Century Fox,Remake,Action,Contemporary Fiction,James Cameron,69,7.2,80581
971,Terminator 2: Judgment Day,204859496,516816151,,100000000,Jul 02 1991,R,,Sony Pictures,Original Screenplay,Action,Science Fiction,James Cameron,98,8.5,237477
972,Travellers and Magicians,506793,1058893,,1800000,Jan 07 2005,Not Rated,,Zeitgeist,Original Screenplay,Drama,,,,7.4,1069
973,The Terminator,38019031,78019031,,6400000,Oct 26 1984,,,Orion Pictures,Original Screenplay,Action,Science Fiction,James Cameron,100,8.1,179606
974,Tremors,16667084,16667084,,10000000,Jan 19 1990,,,Universal,Original Screenplay,Action,Science Fiction,,88,7.2,29840
975,True Romance,12281000,12281000,,12500000,Sep 10 1993,,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tony Scott,91,7.9,73829
976,Tron,26918576,26918576,,17000000,Jul 09 1982,,,Walt Disney Pictures,Original Screenplay,Action,Science Fiction,,68,2.9,923
977,Trapeze,14400000,14400000,,4000000,Dec 31 1955,,,,,,,,60,6.7,1570
978,The Terrorist,195043,195043,,25000,Jan 14 2000,Not Rated,,Phaedra Cinema,,,,,,5.5,50
979,Trois,1161843,1161843,,200000,Feb 11 2000,NC-17,,Rainforest Productions,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,3.3,360
980,Things to Do in Denver when You're Dead,529766,529766,,15000000,Dec 01 1995,R,,Miramax,Original Screenplay,Black Comedy,Contemporary Fiction,,33,6.6,12789
981,A Time to Kill,108766007,152266007,,40000000,Jul 24 1996,R,150,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,68,7.1,38577
982,Total Recall,119394839,261400000,,65000000,Jun 01 1990,,,Sony Pictures,Based on Book/Short Story,Action,Science Fiction,Paul Verhoeven,81,7.4,70355
983,This Thing of Ours,37227,37227,,2000000,Jul 18 2003,Not Rated,,,,Drama,,,,5.2,316
984,Tootsie,177200000,177200000,,15000000,Dec 17 1982,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Sydney Pollack,87,7.4,31669
985,That Thing You Do!,25857416,31748615,,2500000,Oct 04 1996,PG,110,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Tom Hanks,92,6.7,25916
986,The Trouble With Harry,7000000,7000000,,1200000,Oct 03 1955,,,Paramount Pictures,,,,Alfred Hitchcock,89,7.2,11580
987,Twins,111936388,216600000,,15000000,Dec 09 1988,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,33,,
988,Twister,241888385,495900000,,88000000,May 10 1996,PG-13,117,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Jan De Bont,57,6,61665
989,Towering Inferno,116000000,139700000,,14000000,Dec 17 1974,,,20th Century Fox,,,,John Guillermin,,,
990,Taxi Driver,21100000,21100000,,1000000,Feb 08 1976,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Martin Scorsese,98,8.6,155774
991,Tycoon,121016,121016,,5000000,Jun 13 2003,Not Rated,,,,,,,,6,456
992,Toy Story,191796233,361948825,,30000000,Nov 22 1995,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,John Lasseter,100,8.2,151143
993,Twilight Zone: The Movie,29500000,29500000,,10000000,Jun 24 1983,,,Warner Bros.,Based on TV,Horror,Fantasy,Steven Spielberg,67,6.3,12054
994,Unforgettable,2483790,2483790,,18000000,Feb 23 1996,R,,MGM,Original Screenplay,Thriller/Suspense,Science Fiction,John Dahl,23,5.7,2284
995,UHF,6157157,6157157,,5000000,Jul 21 1989,,,,,,,,55,6.6,12676
996,Ulee's Gold,9054736,15600000,,2700000,Jun 13 1997,R,,Orion Pictures,Original Screenplay,Drama,Contemporary Fiction,,94,7,4041
997,Under Siege 2: Dark Territory,50024083,104324083,,60000000,Jul 14 1995,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,,34,5.1,15218
998,The Untouchables,76270454,76270454,,25000000,Jun 03 1987,,,Paramount Pictures,Based on TV,Action,Dramatization,Brian De Palma,81,8,86097
999,Under the Rainbow,18826490,18826490,,20000000,Jul 31 1981,,,Warner Bros.,Original Screenplay,Comedy,Historical Fiction,,,4.9,1263
1000,Veer-Zaara,2938532,7017859,,7000000,Nov 12 2004,Not Rated,,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,,,7.3,4155
1001,Videodrome,2120439,2120439,,5952000,Feb 04 1983,,,Universal,Original Screenplay,Horror,Fantasy,David Cronenberg,,7.3,20080
1002,Les Visiteurs,659000,98754000,,7000000,Jul 12 1996,R,,Miramax,Original Screenplay,Comedy,Fantasy,,,6.7,7393
1003,"Couloirs du temps: Les visiteurs 2, Les",146072,26146072,,20000000,Mar 27 1998,,,,Original Screenplay,Comedy,,,,,
1004,The Valley of Decision,9132000,9132000,,2160000,Dec 31 1944,,,,,,,,,7.3,682
1005,Vampire in Brooklyn,19637147,19637147,,14000000,Oct 27 1995,R,,Paramount Pictures,Original Screenplay,Horror,Fantasy,Wes Craven,11,4.3,8200
1006,The Verdict,53977250,53977250,,16000000,Dec 08 1982,,,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Sidney Lumet,96,7.7,10864
1007,Virtuosity,23998226,23998226,,30000000,Aug 04 1995,R,,Paramount Pictures,Original Screenplay,Action,Science Fiction,,34,5.3,11079
1008,Everything Put Together,0,0,,500000,Nov 02 2001,R,,,,,,,,6.7,418
1009,A View to a Kill,50327960,152627960,,30000000,May 24 1985,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,39,6.1,23770
1010,The Work and the Glory: American Zion,2025032,2025032,,6500000,Oct 21 2005,PG-13,100,Vineyard Distribution,Based on Book/Short Story,Drama,Historical Fiction,,,5.6,365
1011,A Walk on the Moon,4741987,4741987,,14000000,Mar 26 1999,R,,Miramax,Original Screenplay,Drama,Historical Fiction,Tony Goldwyn,74,6.4,4125
1012,The Work and the Glory,3347647,3347647,,7500000,Nov 24 2004,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,,17,6,531
1013,The Work and the Story,16137,16137,,103000,Oct 03 2003,Not Rated,,Off-Hollywood Distribution,,Comedy,,,,5.1,82
1014,What the #$'! Do We Know,10941801,10941801,,4000000,Feb 06 2004,Not Rated,,Captured Light,Based on Real Life Events,Documentary,Factual,,,,
1015,Waiting for Guffman,2922988,2922988,,4000000,Jan 31 1997,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,,7.4,14880
1016,Who Framed Roger Rabbit?,154112492,351500000,,70000000,Jun 22 1988,,,Walt Disney Pictures,Based on Book/Short Story,Comedy,Fantasy,Robert Zemeckis,98,7.6,53541
1017,White Fang,34729091,34729091,,14000000,Jan 18 1991,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Randal Kleiser,67,,
1018,White Squall,10229300,10229300,,38000000,Feb 02 1996,PG-13,,Walt Disney Pictures,Based on Real Life Events,Adventure,Dramatization,Ridley Scott,63,6.4,8385
1019,What's Eating Gilbert Grape,9170214,9170214,,11000000,Dec 25 1993,,,Paramount Pictures,,Drama,,Lasse Hallstrom,88,7.8,51219
1020,Witchboard,7369373,7369373,,2000000,Dec 31 1986,,,Cinema Guild,Original Screenplay,Horror,Fantasy,,,5.2,1666
1021,The Wiz,13000000,13000000,,24000000,Oct 24 1978,,,,,Musical,,Sidney Lumet,37,4.5,4896
1022,Walking and Talking,1287480,1615787,,1000000,Jul 17 1996,R,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,86,6.5,1756
1023,The Wild Bunch,509424,509424,,6000000,Jun 18 1969,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,97,8.2,31196
1024,Wall Street,43848100,43848100,,15000000,Dec 11 1987,,,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Oliver Stone,78,7.3,35454
1025,Waterloo,,,,25000000,Jan 01 1970,,,,,,,,,,
1026,The Wrong Man,2000000,2000000,,1200000,Dec 23 1956,,,Warner Bros.,,,,Alfred Hitchcock,89,7.5,7531
1027,Woman Chaser,110719,110719,,150000,Jun 23 2000,R,,,,,,,,,
1028,Wings,,,,2000000,Aug 12 2027,,,,,,,,96,7.9,3035
1029,We're No Angels,10555348,10555348,,20000000,Dec 15 1989,,,Paramount Pictures,Based on Play,Comedy,Contemporary Fiction,Neil Jordan,50,5.6,7839
1030,Wolf,65011757,131011757,,70000000,Jun 17 1994,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Fantasy,Mike Nichols,60,6,20035
1031,Warriors of Virtue,6448817,6448817,,35000000,May 02 1997,PG,,MGM,Original Screenplay,Action,Contemporary Fiction,Ronny Yu,10,4,1202
1032,War Games,74433837,74433837,,12000000,Jun 03 1983,,,MGM,Original Screenplay,Thriller/Suspense,Science Fiction,John Badham,,6.4,88
1033,Warlock,8824553,8824553,,7000000,Jan 10 1991,,,Trimark,Original Screenplay,Horror,Science Fiction,Steve Miner,,5.9,4921
1034,War and Peace,12500000,12500000,,6000000,Dec 31 1955,PG,,,,,,King Vidor,50,6.8,2923
1035,Warlock: The Armageddon,3902679,3902679,,3000000,Sep 24 1993,,,Trimark,Original Screenplay,Horror,Science Fiction,,,4.9,1888
1036,Wasabi,81525,7000000,,15300000,Sep 27 2002,R,,Sony Pictures,,,,,,6.5,11647
1037,West Side Story,43700000,43700000,,6000000,Oct 18 1961,,,,,,,Robert Wise,92,7.7,29488
1038,When The Cat's Away,1652472,2525984,,300000,Sep 20 1996,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,,,
1039,Welcome to the Dollhouse,4198137,4726732,,800000,May 10 1996,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,Todd Solondz,,7.3,13469
1040,Witness,65532576,65532576,,12000000,Feb 08 1985,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Peter Weir,94,7.6,30460
1041,Waterworld,88246220,264246220,,175000000,Jul 28 1995,PG-13,,Universal,Original Screenplay,Action,Science Fiction,Kevin Reynolds,42,5.7,54126
1042,Willy Wonka & the Chocolate Factory,4000000,4000000,,3000000,Jun 30 1971,,,,,,,,90,7.8,46824
1043,Wayne's World,121697323,183097323,,20000000,Feb 14 1992,PG-13,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Penelope Spheeris,84,6.9,42570
1044,Wyatt Earp,25052000,25052000,,63000000,Jun 24 1994,PG-13,,Warner Bros.,Based on Real Life Events,Western,Dramatization,Lawrence Kasdan,42,6.4,15614
1045,The Wizard of Oz,28202232,28202232,,2777000,Aug 25 2039,G,103,Warner Bros.,Based on Book/Short Story,Musical,Fantasy,King Vidor,,8.3,102795
1046,Executive Decision,56679192,122079192,,55000000,Mar 15 1996,R,132,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,65,6.3,18569
1047,Exodus,21750000,21750000,,4000000,Jan 01 1960,,,,,,,,67,6.8,3546
1048,The Exorcist,204632868,402500000,,12000000,Dec 26 1973,R,,Warner Bros.,Based on Book/Short Story,Horror,Contemporary Fiction,William Friedkin,84,8.1,103131
1049,Extreme Measures,17378193,17378193,,38000000,Sep 27 1996,R,117,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Michael Apted,55,5.9,8038
1050,You Can't Take It With You,4000000,4000000,,1644000,Dec 31 1937,,,,,,,Frank Capra,96,8,8597
1051,Eye for an Eye,26792700,26792700,,20000000,Jan 12 1996,R,101,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,John Schlesinger,,5.7,4837
1052,Young Guns,44726644,44726644,,13000000,Aug 12 1988,,,20th Century Fox,Original Screenplay,Western,Historical Fiction,,40,6.6,21404
1053,Young Frankenstein,86300000,86300000,15500333,2800000,Dec 15 1974,,,20th Century Fox,,,,Mel Brooks,93,8,57106
1054,Yentl,39012241,39012241,,12000000,Nov 18 1983,,,MGM/UA Classics,Based on Book/Short Story,Musical,,Barbra Streisand,71,6.2,4952
1055,You Only Live Twice,43100000,111600000,,9500000,Jun 13 1967,,,MGM,Based on Book/Short Story,Action,,,70,7,24701
1056,Ayurveda: Art of Being,16892,2066892,,300000,Jul 19 2002,Not Rated,,Kino International,,Documentary,Factual,,,7.3,181
1057,Young Sherlock Holmes,19739000,19739000,,18000000,Dec 04 1985,,,Paramount Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Barry Levinson,63,6.5,7293
1058,102 Dalmatians,66941559,66941559,,85000000,Nov 22 2000,G,100,Walt Disney Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Kevin Lima,30,4.4,7147
1059,Ten Things I Hate About You,38177966,38177966,,13000000,Mar 31 1999,PG-13,97,Walt Disney Pictures,Based on Play,Romantic Comedy,Contemporary Fiction,,,6.9,61910
1060,"10,000 B.C.",94784201,269065678,27044045,105000000,Mar 07 2008,PG-13,,Warner Bros.,Original Screenplay,Adventure,Historical Fiction,Roland Emmerich,9,5.8,134
1061,10th & Wolf,54702,54702,,8000000,Aug 18 2006,Not Rated,,ThinkFilm,Based on Real Life Events,Drama,Dramatization,Robert Moresco,19,6.3,3655
1062,11:14,0,0,,6000000,Aug 12 2005,R,,,,,,,,7.3,18261
1063,Cloverfield,80048433,170764033,29180398,25000000,Jan 18 2008,PG-13,,Paramount Pictures,Original Screenplay,Action,Science Fiction,Matt Reeves,76,7.4,136068
1064,12 Rounds,12234694,18184083,8283859,20000000,Mar 27 2009,PG-13,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,28,5.4,8914
1065,Thirteen Conversations About One Thing,3287435,3705923,,3000000,May 24 2002,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,,7.1,6188
1066,13 Going On 30,57139723,96439723,,30000000,Apr 23 2004,PG-13,98,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Gary Winick,,6.1,32634
1067,Thirteen Ghosts,41867960,68467960,,19000000,Oct 26 2001,R,91,Warner Bros.,Original Screenplay,Horror,Fantasy,,,5.1,23243
1068,1408,71985628,128529299,49668544,22500000,Jun 22 2007,PG-13,102,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,,78,6.9,72913
1069,15 Minutes,24375436,56331864,,42000000,Mar 09 2001,R,120,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,32,6.1,25566
1070,16 to Life,10744,10744,,1000000,Sep 03 2010,,,Waterdog Films,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,
1071,16 Blocks,36895141,65595141,17523555,45000000,Mar 03 2006,PG-13,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,55,6.7,41207
1072,One Man's Hero,229311,229311,,18000000,Sep 24 1999,,,MGM,,,,,,5.7,627
1073,First Daughter,9055010,10419084,,30000000,Sep 24 2004,PG,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Forest Whitaker,8,4.7,6839
1074,2012,166112167,766812167,50736023,200000000,Nov 13 2009,PG-13,158,Sony Pictures,Original Screenplay,Action,Science Fiction,Roland Emmerich,39,6.2,396
1075,2046,1442338,19202856,,12000000,Aug 05 2005,R,,Sony Pictures Classics,Original Screenplay,Drama,Science Fiction,Wong Kar-wai,,7.5,19431
1076,20 Dates,541636,541636,,66000,Feb 26 1999,R,,Fox Searchlight,Original Screenplay,Comedy,,,,4.9,1423
1077,21,81159365,157852532,25789928,35000000,Mar 21 2008,PG-13,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Robert Luketic,35,6.7,60918
1078,21 Grams,16248701,60448701,,20000000,Nov 21 2003,R,,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Alejandro Gonzalez Inarritu,81,7.9,77910
1079,25th Hour,13084595,23928503,,4500000,Dec 19 2002,R,,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Spike Lee,78,7.9,58781
1080,28 Days,37035515,62063972,,43000000,Apr 14 2000,PG-13,103,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Betty Thomas,30,5.8,17937
1081,28 Days Later...,45064915,82719885,,15000000,Jun 27 2003,R,113,Fox Searchlight,Original Screenplay,Horror,Science Fiction,Danny Boyle,89,7.6,103525
1082,28 Weeks Later,28638916,64238440,24422887,15000000,May 11 2007,R,91,20th Century Fox,Original Screenplay,Horror,Science Fiction,,,7.1,69558
1083,Two Brothers,18947630,39925603,,72000000,Jun 25 2004,PG,,Universal,Original Screenplay,Drama,Kids Fiction,Jean-Jacques Annaud,77,6,127
1084,Cop Out,44875481,44875481,11433110,37000000,Feb 26 2010,R,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,19,5.7,16520
1085,Two Lovers,3149034,11549034,,12000000,Feb 13 2009,R,,Magnolia Pictures,Original Screenplay,Drama,Contemporary Fiction,James Gray,,7.3,10325
1086,2 For the Money,22991379,27848418,,20000000,Oct 07 2005,R,123,Universal,Original Screenplay,Drama,Contemporary Fiction,D.J. Caruso,,,
1087,Secondhand Lions,42023715,47855342,,30000000,Sep 19 2003,PG,111,New Line,Original Screenplay,Drama,Historical Fiction,,60,7.5,19040
1088,Two Can Play That Game,22235901,22391450,,13000000,Sep 07 2001,R,91,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,43,5.6,2370
1089,Two Weeks Notice,93354918,199043309,,60000000,Dec 20 2002,PG-13,110,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42,5.8,35515
1090,300,210614939,456068181,261252400,60000000,Mar 09 2007,R,117,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60,7.8,235508
1091,30 Days of Night,39568996,75066323,26908243,30000000,Oct 19 2007,R,,Sony Pictures,Based on Comic/Graphic Novel,Horror,Fantasy,,49,6.6,52518
1092,Three Kings,60652036,107752036,,48000000,Oct 01 1999,R,115,Warner Bros.,Original Screenplay,Action,Historical Fiction,David O. Russell,94,7.3,68726
